3558,13,1581,2929,52,71,1,-1,-1,-1
3559,13,1578,2917,55,83,1,-1,-1,-1
3560,13,1569,2905,60,80,1,-1,-1,-1
3561,13,1557,2899,69,81,1,-1,-1,-1
3562,13,1537,2895,80,78,1,-1,-1,-1
3563,13,1516,2894,79,61,1,-1,-1,-1
3564,13,1506,2891,79,64,1,-1,-1,-1
3566,13,1473,2881,77,58,1,-1,-1,-1
3567,13,1461,2876,82,59,1,-1,-1,-1
3569,13,1433,2854,80,73,1,-1,-1,-1
3570,13,1421,2852,84,71,1,-1,-1,-1
3571,13,1409,2849,88,67,1,-1,-1,-1
3572,13,1395,2829,82,80,1,-1,-1,-1
3573,13,1385,2821,92,74,1,-1,-1,-1
3574,13,1365,2805,78,80,1,-1,-1,-1
3575,13,1361,2805,80,80,1,-1,-1,-1
3576,13,1350,2805,91,67,1,-1,-1,-1
3577,13,1335,2794,74,67,1,-1,-1,-1
3579,13,1305,2792,84,53,1,-1,-1,-1
3580,13,1291,2794,84,53,1,-1,-1,-1
3581,13,1285,2786,84,60,1,-1,-1,-1
3584,13,1233,2793,88,56,1,-1,-1,-1
3586,13,1205,2779,96,74,1,-1,-1,-1
3588,13,1175,2798,88,65,1,-1,-1,-1
3589,13,1161,2809,72,67,1,-1,-1,-1
3590,13,1155,2813,78,68,1,-1,-1,-1
3591,13,1149,2815,84,74,1,-1,-1,-1
3592,13,1143,2815,82,80,1,-1,-1,-1
3593,13,1131,2815,72,86,1,-1,-1,-1
3594,13,1135,2837,62,76,1,-1,-1,-1
3595,13,1125,2837,60,92,1,-1,-1,-1
3596,13,1129,2841,52,92,1,-1,-1,-1
3597,13,1121,2866,60,77,1,-1,-1,-1
3598,13,1118,2866,63,89,1,-1,-1,-1
3599,13,1117,2866,64,85,1,-1,-1,-1
3600,13,1115,2868,62,81,1,-1,-1,-1
3601,13,1113,2868,56,85,1,-1,-1,-1
3602,13,1103,2871,66,90,1,-1,-1,-1
3603,13,1085,2889,68,84,1,-1,-1,-1
3604,13,1074,2889,71,92,1,-1,-1,-1
3605,13,1065,2897,79,84,1,-1,-1,-1
3606,13,1053,2913,82,64,1,-1,-1,-1
3607,13,1033,2909,80,56,1,-1,-1,-1
3611,13,977,2906,82,56,1,-1,-1,-1
3612,13,969,2897,84,62,1,-1,-1,-1
3613,13,957,2890,88,59,1,-1,-1,-1
3614,13,935,2878,80,67,1,-1,-1,-1
3615,13,919,2863,90,66,1,-1,-1,-1
3616,13,918,2853,79,76,1,-1,-1,-1
3617,13,913,2841,68,87,1,-1,-1,-1
3618,13,910,2823,63,73,1,-1,-1,-1
3619,13,898,2801,63,94,1,-1,-1,-1
3620,13,893,2790,68,75,1,-1,-1,-1
3621,13,893,2781,60,76,1,-1,-1,-1
3622,13,893,2769,52,86,1,-1,-1,-1
3623,13,891,2758,56,89,1,-1,-1,-1
3624,13,891,2745,58,78,1,-1,-1,-1
3625,13,897,2725,60,87,1,-1,-1,-1
3626,13,897,2717,64,81,1,-1,-1,-1
3627,13,897,2713,72,80,1,-1,-1,-1
3628,13,905,2709,68,84,1,-1,-1,-1
3629,13,905,2699,80,69,1,-1,-1,-1
3630,13,920,2689,77,76,1,-1,-1,-1
3631,13,921,2689,80,76,1,-1,-1,-1
3632,13,921,2675,84,74,1,-1,-1,-1
3633,13,921,2663,84,74,1,-1,-1,-1
3634,13,929,2657,72,78,1,-1,-1,-1
3635,13,937,2646,60,81,1,-1,-1,-1
3636,13,940,2617,49,80,1,-1,-1,-1
3637,13,935,2609,54,88,1,-1,-1,-1
3638,13,921,2597,68,92,1,-1,-1,-1
3639,13,913,2593,73,88,1,-1,-1,-1
3640,13,894,2581,73,72,1,-1,-1,-1
3641,13,875,2573,88,70,1,-1,-1,-1
3642,13,865,2573,92,65,1,-1,-1,-1
3643,13,845,2573,80,60,1,-1,-1,-1
3645,13,826,2561,91,60,1,-1,-1,-1
3646,13,817,2549,72,60,1,-1,-1,-1
3647,13,801,2545,85,66,1,-1,-1,-1
3648,13,782,2546,80,57,1,-1,-1,-1
3649,13,761,2539,86,61,1,-1,-1,-1
3650,13,738,2545,87,60,1,-1,-1,-1
3651,13,737,2545,88,66,1,-1,-1,-1
3652,13,733,2548,76,71,1,-1,-1,-1
3653,13,723,2548,78,69,1,-1,-1,-1
3654,13,703,2548,83,71,1,-1,-1,-1
